partition	protID	trimmedLength	trimmedPercent	span	spanLength	spanPercent	refProtLength
Homo_sapiens_1-136	sp|O15145|ARPC3_HUMAN	136	0.764	(28, 177)	149	0.837	178
Homo_sapiens_137-301	sp|P59998|ARPC4_HUMAN	165	0.982	(3, 168)	165	0.982	168
Homo_sapiens_302-519	sp|O15143|ARC1B_HUMAN	218	0.586	(21, 369)	348	0.935	372
Homo_sapiens_520-1015	sp|P25705|ATPA_HUMAN	496	0.897	(49, 551)	502	0.908	553
Homo_sapiens_1016-1519	sp|P17987|TCPA_HUMAN	504	0.906	(8, 532)	524	0.942	556
Homo_sapiens_1520-2018	sp|P78371|TCPB_HUMAN	499	0.933	(17, 526)	509	0.951	535
Homo_sapiens_2019-2497	sp|P50991|TCPD_HUMAN	479	0.889	(28, 534)	506	0.939	539
Homo_sapiens_2498-3020	sp|P48643|TCPE_HUMAN	523	0.967	(9, 532)	523	0.967	541
Homo_sapiens_3021-3533	sp|P49368|TCPG_HUMAN	512	0.939	(8, 528)	520	0.954	545
Homo_sapiens_3534-4039	sp|Q99832|TCPH_HUMAN	506	0.932	(5, 519)	514	0.947	543
Homo_sapiens_4040-4490	sp|P50990|TCPQ_HUMAN	451	0.823	(15, 534)	519	0.947	548
Homo_sapiens_4491-4991	sp|P40227|TCPZ_HUMAN	501	0.944	(2, 530)	528	0.994	531
Homo_sapiens_4992-5499	sp|P10809|CH60_HUMAN	508	0.887	(27, 550)	523	0.913	573
Homo_sapiens_5500-5911	sp|Q9BZE4|NOG1_HUMAN	412	0.650	(11, 628)	617	0.973	634
Homo_sapiens_5912-6688	sp|P13639|EF2_HUMAN	777	0.906	(8, 858)	850	0.991	858
Homo_sapiens_6689-6807	sp|Q9GZV4|IF5A2_HUMAN	119	0.778	(10, 150)	140	0.915	153
Homo_sapiens_6808-7032	sp|P22087|FBRL_HUMAN	225	0.701	(85, 314)	229	0.713	321
Homo_sapiens_7033-7241	sp|P27635|RL10_HUMAN	209	0.977	(0, 209)	209	0.977	214
Homo_sapiens_7242-7824	sp|P11021|GRP78_HUMAN	583	0.891	(36, 635)	599	0.916	654
Homo_sapiens_7825-8393	sp|P38646|GRP75_HUMAN	569	0.838	(54, 653)	599	0.882	679
Homo_sapiens_8394-9023	sp|P07900|HS90A_HUMAN	630	0.861	(18, 699)	681	0.930	732
Homo_sapiens_9024-9140	sp|P47813|IF1AX_HUMAN	117	0.812	(0, 117)	117	0.812	144
Homo_sapiens_9141-9299	sp|P20042|IF2B_HUMAN	159	0.477	(171, 331)	160	0.480	333
Homo_sapiens_9300-9736	sp|P41091|IF2G_HUMAN	437	0.926	(27, 467)	440	0.932	472
Homo_sapiens_9737-10120	sp|P38919|IF4A3_HUMAN	384	0.934	(27, 411)	384	0.934	411
Homo_sapiens_10121-10483	sp|Q14240|IF4A2_HUMAN	363	0.892	(32, 407)	375	0.921	407
Homo_sapiens_10484-10601	sp|P25398|RS12_HUMAN	118	0.894	(11, 129)	118	0.894	132
Homo_sapiens_10602-10724	sp|P55769|NH2L1_HUMAN	123	0.961	(5, 128)	123	0.961	128
Homo_sapiens_10725-10959	sp|P62424|RL7A_HUMAN	235	0.883	(10, 260)	250	0.940	266
Homo_sapiens_10960-11342	sp|P62195|PRS8_HUMAN	383	0.943	(18, 405)	387	0.953	406
Homo_sapiens_11343-11746	sp|P35998|PRS7_HUMAN	404	0.933	(21, 433)	412	0.952	433
Homo_sapiens_11747-12131	sp|P62333|PRS10_HUMAN	385	0.990	(4, 389)	385	0.990	389
Homo_sapiens_12132-12524	sp|P17980|PRS6A_HUMAN	393	0.895	(43, 439)	396	0.902	439
