partition	protID	trimmedLength	trimmedPercent	span	spanLength	spanPercent	refProtLength
Homo_sapiens_53283-53603	sp|Q6PI26|SHQ1_HUMAN	320	0.555	(2, 540)	538	0.932	577
Homo_sapiens_31977-32269	sp|Q13492|PICAL_HUMAN	290	0.445	(7, 578)	571	0.876	652
Homo_sapiens_5072-5286	sp|Q9ULR0|ISY1_HUMAN	215	0.754	(0, 277)	277	0.972	285
Homo_sapiens_51771-51954	sp|Q53HI1|UNC50_HUMAN	184	0.710	(27, 258)	231	0.892	259
Homo_sapiens_2721-3448	sp|Q02218|ODO1_HUMAN	727	0.711	(45, 1014)	969	0.947	1023
Homo_sapiens_78867-79064	sp|P37287|PIGA_HUMAN	197	0.407	(49, 456)	407	0.841	484
Homo_sapiens_16922-17227	sp|Q9BT22|ALG1_HUMAN	306	0.659	(9, 461)	452	0.974	464
Homo_sapiens_74502-74606	sp|Q16864|VATF_HUMAN	103	0.866	(2, 115)	113	0.950	119
Homo_sapiens_26196-26503	sp|Q9BZG8|DPH1_HUMAN	300	0.677	(31, 386)	355	0.801	443
Homo_sapiens_20094-20407	sp|O60942|MCE1_HUMAN	313	0.524	(30, 558)	528	0.884	597
Homo_sapiens_36256-36484	sp|Q14232|EI2BA_HUMAN	228	0.748	(3, 304)	301	0.987	305
Homo_sapiens_72907-72989	sp|O95989|NUDT3_HUMAN	82	0.477	(6, 154)	148	0.860	172
Homo_sapiens_66485-66644	sp|P53701|CCHL_HUMAN	156	0.582	(0, 263)	263	0.981	268
Homo_sapiens_55922-56073	sp|P61758|PFD3_HUMAN	151	0.766	(18, 191)	173	0.878	197
Homo_sapiens_48994-49533	sp|P25205|MCM3_HUMAN	540	0.668	(13, 795)	782	0.968	808
Homo_sapiens_42835-43046	sp|P22087|FBRL_HUMAN	212	0.660	(72, 313)	241	0.751	321
Homo_sapiens_56839-57016	sp|Q6Y1H2|HACD2_HUMAN	178	0.701	(25, 247)	222	0.874	254
Homo_sapiens_15550-15908	sp|Q58A45|PAN3_HUMAN	351	0.396	(187, 883)	696	0.785	887
Homo_sapiens_57017-57238	sp|Q9H2D1|MFTC_HUMAN	222	0.705	(14, 305)	291	0.924	315
Homo_sapiens_7717-7989	sp|Q92905|CSN5_HUMAN	273	0.817	(4, 327)	323	0.967	334
Homo_sapiens_53604-53876	sp|Q9UMX0|UBQL1_HUMAN	269	0.457	(36, 584)	548	0.930	589
Homo_sapiens_32270-32428	sp|O75663|TIPRL_HUMAN	154	0.566	(8, 224)	216	0.794	272
Homo_sapiens_13139-13263	sp|P0DI82|TPC2B_HUMAN	124	0.886	(2, 139)	137	0.979	140
Homo_sapiens_1-236	sp|P56537|IF6_HUMAN	236	0.963	(0, 244)	244	0.996	245
Homo_sapiens_58743-59104	sp|Q8WWY3|PRP31_HUMAN	361	0.723	(0, 492)	492	0.986	499
Homo_sapiens_15229-15549	sp|Q92521|PIGB_HUMAN	319	0.576	(65, 527)	462	0.834	554
Homo_sapiens_18903-19482	sp|P18074|ERCC2_HUMAN	580	0.763	(4, 733)	729	0.959	760
Homo_sapiens_33350-33536	sp|Q96EE3|SEH1_HUMAN	184	0.511	(5, 297)	292	0.811	360
Homo_sapiens_14047-14202	sp|Q9BV57|MTND_HUMAN	153	0.855	(1, 174)	173	0.966	179
Homo_sapiens_12003-12506	sp|Q8N1B4|VPS52_HUMAN	504	0.697	(66, 721)	655	0.906	723
Homo_sapiens_58276-58600	sp|O75140|DEPD5_HUMAN	325	0.203	(7, 1551)	1544	0.963	1603
Homo_sapiens_49534-49991	sp|P21281|VATB2_HUMAN	458	0.896	(27, 507)	480	0.939	511
Homo_sapiens_7525-7716	sp|P17707|DCAM_HUMAN	191	0.572	(2, 328)	326	0.976	334
Homo_sapiens_58601-58742	sp|P41223|BUD31_HUMAN	140	0.972	(0, 144)	144	1.000	144
Homo_sapiens_8723-8850	sp|Q92890|UFD1_HUMAN	128	0.417	(25, 266)	241	0.785	307
Homo_sapiens_39934-40280	sp|Q8NHQ9|DDX55_HUMAN	343	0.572	(26, 577)	551	0.918	600
Homo_sapiens_11155-11276	sp|Q9NVA1|UQCC1_HUMAN	122	0.408	(20, 269)	249	0.833	299
Homo_sapiens_65600-65699	sp|O60869|EDF1_HUMAN	100	0.676	(18, 138)	120	0.811	148
Homo_sapiens_9404-9737	sp|Q32NB8|PGPS1_HUMAN	283	0.502	(72, 562)	490	0.869	564
Homo_sapiens_50813-50907	sp|O75381|PEX14_HUMAN	95	0.252	(16, 249)	233	0.618	377
Homo_sapiens_45746-46630	sp|Q9NW08|RPC2_HUMAN	885	0.781	(17, 1124)	1107	0.977	1133
Homo_sapiens_43644-44082	sp|Q9BSC4|NOL10_HUMAN	439	0.638	(2, 680)	678	0.985	688
Homo_sapiens_21989-22171	sp|Q9Y673|ALG5_HUMAN	181	0.559	(4, 303)	299	0.923	324
Homo_sapiens_11277-11689	sp|Q6XQN6|PNCB_HUMAN	413	0.765	(9, 540)	531	0.983	540
Homo_sapiens_16471-16921	sp|P54198|HIRA_HUMAN	451	0.443	(2, 1012)	1010	0.993	1017
Homo_sapiens_74990-75290	sp|Q69YN2|C19L1_HUMAN	300	0.558	(10, 538)	528	0.981	538
Homo_sapiens_14956-15083	sp|O95619|YETS4_HUMAN	127	0.559	(24, 222)	198	0.872	227
Homo_sapiens_64473-64996	sp|Q01433|AMPD2_HUMAN	523	0.595	(213, 851)	638	0.726	879
Homo_sapiens_60743-61155	sp|Q6IA86|ELP2_HUMAN	413	0.500	(29, 816)	787	0.953	826
Homo_sapiens_22172-22682	sp|P31939|PUR9_HUMAN	511	0.863	(5, 590)	585	0.988	592
Homo_sapiens_12979-13138	sp|Q9Y399|RT02_HUMAN	160	0.541	(0, 259)	259	0.875	296
Homo_sapiens_56074-56838	sp|Q7KZ85|SPT6H_HUMAN	765	0.443	(223, 1512)	1289	0.747	1726
Homo_sapiens_47183-47899	sp|Q9Y5B9|SP16H_HUMAN	715	0.683	(3, 999)	996	0.951	1047
Homo_sapiens_73472-73601	sp|Q9Y584|TIM22_HUMAN	130	0.670	(22, 194)	172	0.887	194
Homo_sapiens_34899-35060	sp|P49247|RPIA_HUMAN	162	0.521	(77, 290)	213	0.685	311
Homo_sapiens_75950-76220	sp|Q9BZE2|PUS3_HUMAN	270	0.561	(1, 412)	411	0.854	481
Homo_sapiens_5831-5911	sp|Q9Y5U8|MPC1_HUMAN	81	0.743	(19, 102)	83	0.761	109
Homo_sapiens_41610-41839	sp|P35250|RFC2_HUMAN	230	0.650	(30, 349)	319	0.901	354
Homo_sapiens_23771-23991	sp|Q9NYV4|CDK12_HUMAN	220	0.148	(681, 1048)	367	0.246	1490
Homo_sapiens_41840-42478	sp|Q96QK1|VPS35_HUMAN	639	0.803	(5, 794)	789	0.991	796
Homo_sapiens_59841-60012	sp|Q9NV31|IMP3_HUMAN	172	0.935	(0, 183)	183	0.995	184
Homo_sapiens_75430-75610	sp|Q9UK41|VPS28_HUMAN	181	0.767	(14, 236)	222	0.941	236
Homo_sapiens_62297-62816	sp|P49589|SYCC_HUMAN	520	0.695	(25, 730)	705	0.943	748
Homo_sapiens_50908-51206	sp|Q7Z3B4|NUP54_HUMAN	299	0.590	(118, 498)	380	0.750	507
Homo_sapiens_1384-2117	sp|Q9H0A0|NAT10_HUMAN	733	0.715	(7, 1014)	1007	0.982	1025
Homo_sapiens_33537-33832	sp|Q9BV20|MTNA_HUMAN	296	0.802	(1, 353)	352	0.954	369
Homo_sapiens_15084-15228	sp|Q9Y3D8|KAD6_HUMAN	145	0.843	(9, 169)	160	0.930	172
Homo_sapiens_54419-54570	sp|Q9BRT9|SLD5_HUMAN	152	0.682	(20, 222)	202	0.906	223
Homo_sapiens_22923-23053	sp|Q70HW3|SAMC_HUMAN	112	0.409	(64, 254)	190	0.693	274
Homo_sapiens_39346-39598	sp|Q92600|CNOT9_HUMAN	251	0.839	(17, 283)	266	0.890	299
Homo_sapiens_23992-24262	sp|Q9H553|ALG2_HUMAN	269	0.647	(14, 412)	398	0.957	416
Homo_sapiens_65700-66006	sp|O14929|HAT1_HUMAN	307	0.733	(23, 417)	394	0.940	419
Homo_sapiens_79065-80221	sp|O95602|RPA1_HUMAN	1151	0.669	(12, 1718)	1706	0.992	1720
Homo_sapiens_67699-67979	sp|Q9H3S5|PIGM_HUMAN	280	0.662	(21, 410)	389	0.920	423
Homo_sapiens_63593-64472	sp|P07814|SYEP_HUMAN	880	0.582	(35, 1447)	1412	0.934	1512
Homo_sapiens_36661-37469	sp|Q10570|CPSF1_HUMAN	809	0.561	(2, 1434)	1432	0.992	1443
Homo_sapiens_71098-71442	sp|Q9Y4A5|TRRAP_HUMAN	345	0.089	(47, 3270)	3223	0.835	3859
