partition	protID	trimmedLength	trimmedPercent	span	spanLength	spanPercent	refProtLength
Homo_sapiens_1-236	sp|P56537|IF6_HUMAN	236	0.963	(0, 244)	244	0.996	245
Homo_sapiens_237-996	sp|P23378|GCSP_HUMAN	755	0.740	(57, 1000)	943	0.925	1020
Homo_sapiens_997-1383	sp|Q9NV06|DCA13_HUMAN	386	0.867	(0, 438)	438	0.984	445
Homo_sapiens_1384-2117	sp|Q9H0A0|NAT10_HUMAN	733	0.715	(7, 1014)	1007	0.982	1025
Homo_sapiens_2118-2845	sp|Q02218|ODO1_HUMAN	727	0.711	(45, 1014)	969	0.947	1023
Homo_sapiens_2846-3364	sp|O60524|NEMF_HUMAN	518	0.481	(7, 1012)	1005	0.934	1076
Homo_sapiens_3446-3660	sp|Q9ULR0|ISY1_HUMAN	215	0.754	(0, 277)	277	0.972	285
Homo_sapiens_3661-3741	sp|Q9Y5U8|MPC1_HUMAN	81	0.743	(19, 102)	83	0.761	109
Homo_sapiens_3742-3873	sp|Q9UHA3|RLP24_HUMAN	132	0.810	(0, 160)	160	0.982	163
Homo_sapiens_3874-4039	sp|Q9BY50|SC11C_HUMAN	164	0.854	(18, 190)	172	0.896	192
Homo_sapiens_4040-4230	sp|Q9BW85|CCD94_HUMAN	190	0.588	(1, 323)	322	0.997	323
Homo_sapiens_4231-4401	sp|O15258|RER1_HUMAN	171	0.872	(9, 185)	176	0.898	196
Homo_sapiens_4402-4657	sp|P49642|PRI1_HUMAN	256	0.610	(13, 414)	401	0.955	420
Homo_sapiens_4658-4963	sp|P61962|DCAF7_HUMAN	303	0.886	(3, 342)	339	0.991	342
Homo_sapiens_4964-5091	sp|Q92890|UFD1_HUMAN	128	0.417	(25, 266)	241	0.785	307
Homo_sapiens_5092-5145	sp|Q9NPE3|NOP10_HUMAN	54	0.844	(0, 62)	62	0.969	64
Homo_sapiens_5146-5248	sp|P61803|DAD1_HUMAN	103	0.912	(6, 113)	107	0.947	113
