partition	protID	trimmedLength	trimmedPercent	span	spanLength	spanPercent	refProtLength
Homo_sapiens_53016-53232	sp|P36957|ODO2_HUMAN	211	0.466	(238, 451)	213	0.470	453
Homo_sapiens_25444-25628	sp|O15145|ARPC3_HUMAN	161	0.904	(0, 177)	177	0.994	178
Homo_sapiens_78805-79054	sp|Q8NBU5|ATAD1_HUMAN	238	0.659	(68, 306)	238	0.659	361
Homo_sapiens_60537-61003	sp|Q9Y265|RUVB1_HUMAN	453	0.993	(0, 454)	454	0.996	456
Homo_sapiens_79301-79470	sp|Q99470|SDF2_HUMAN	158	0.749	(23, 197)	174	0.825	211
Homo_sapiens_20552-20706	sp|Q92783|STAM1_HUMAN	148	0.274	(12, 264)	252	0.467	540
Homo_sapiens_41758-42108	sp|Q9NV06|DCA13_HUMAN	194	0.436	(1, 397)	396	0.890	445
Homo_sapiens_2686-2829	sp|P62841|RS15_HUMAN	139	0.959	(6, 145)	139	0.959	145
Homo_sapiens_62800-63757	sp|Q15393|SF3B3_HUMAN	889	0.730	(69, 1217)	1148	0.943	1217
Homo_sapiens_56426-56579	sp|Q8N2K1|UB2J2_HUMAN	143	0.552	(12, 161)	149	0.575	259
Homo_sapiens_32010-32123	sp|Q8N6L1|KTAP2_HUMAN	112	0.824	(0, 112)	112	0.824	136
Homo_sapiens_16847-17023	sp|Q9UPY8|MARE3_HUMAN	162	0.577	(3, 238)	235	0.836	281
Homo_sapiens_7784-7977	sp|Q9UKD2|MRT4_HUMAN	190	0.795	(0, 208)	208	0.870	239
Homo_sapiens_36223-36397	sp|Q9UNL2|SSRG_HUMAN	166	0.897	(8, 183)	175	0.946	185
Homo_sapiens_45499-45773	sp|Q92600|CNOT9_HUMAN	262	0.876	(17, 279)	262	0.876	299
Homo_sapiens_22918-23296	sp|Q9Y2R4|DDX52_HUMAN	350	0.584	(0, 539)	539	0.900	599
Homo_sapiens_6423-6503	sp|Q9BWJ5|SF3B5_HUMAN	80	0.930	(4, 84)	80	0.930	86
Homo_sapiens_78577-78804	sp|Q9BXY0|MAK16_HUMAN	198	0.660	(0, 198)	198	0.660	300
Homo_sapiens_75784-76021	sp|P48739|PIPNB_HUMAN	229	0.845	(3, 254)	251	0.926	271
Homo_sapiens_13423-13639	sp|Q9GZP9|DERL2_HUMAN	187	0.782	(16, 232)	216	0.904	239
Homo_sapiens_5051-5787	sp|P49736|MCM2_HUMAN	718	0.794	(79, 900)	821	0.908	904
Homo_sapiens_84821-85166	sp|Q99873|ANM1_HUMAN	323	0.895	(37, 360)	323	0.895	361
Homo_sapiens_4597-4807	sp|O14662|STX16_HUMAN	196	0.603	(51, 319)	268	0.825	325
Homo_sapiens_45243-45418	sp|Q8IUR0|TPPC5_HUMAN	158	0.840	(22, 182)	160	0.851	188
Homo_sapiens_27551-28094	sp|Q9UKF6|CPSF3_HUMAN	521	0.762	(15, 591)	576	0.842	684
Homo_sapiens_53962-54208	sp|Q9Y5Y2|NUBP2_HUMAN	228	0.841	(9, 237)	228	0.841	271
Homo_sapiens_18510-18771	sp|O95478|NSA2_HUMAN	258	0.992	(2, 260)	258	0.992	260
Homo_sapiens_44199-44339	sp|P83876|TXN4A_HUMAN	141	0.993	(0, 142)	142	1.000	142
Homo_sapiens_79618-79850	sp|Q9H2U2|IPYR2_HUMAN	230	0.689	(40, 307)	267	0.799	334
Homo_sapiens_7978-8273	sp|Q92905|CSN5_HUMAN	281	0.841	(16, 329)	313	0.937	334
Homo_sapiens_19893-20183	sp|Q7L5Y9|MAEA_HUMAN	271	0.684	(16, 362)	346	0.874	396
Homo_sapiens_17024-17295	sp|P19387|RPB3_HUMAN	250	0.909	(6, 272)	266	0.967	275
Homo_sapiens_66949-67089	sp|Q15819|UB2V2_HUMAN	131	0.903	(8, 139)	131	0.903	145
Homo_sapiens_21628-21771	sp|P33316|DUT_HUMAN	132	0.524	(113, 246)	133	0.528	252
Homo_sapiens_61818-62083	sp|Q9Y6E7|SIR4_HUMAN	228	0.726	(58, 299)	241	0.768	314
Homo_sapiens_67647-67912	sp|Q9H4K1|RIBC2_HUMAN	221	0.715	(0, 237)	237	0.767	309
Homo_sapiens_3955-4196	sp|P50542|PEX5_HUMAN	227	0.355	(323, 635)	312	0.488	639
Homo_sapiens_35822-36068	sp|P56537|IF6_HUMAN	239	0.976	(0, 240)	240	0.980	245
Homo_sapiens_59210-59470	sp|Q7L5D6|GET4_HUMAN	205	0.627	(21, 284)	263	0.804	327
Homo_sapiens_32624-32869	sp|P25789|PSA4_HUMAN	230	0.881	(3, 237)	234	0.897	261
Homo_sapiens_85789-85918	sp|Q9HBM6|TAF9B_HUMAN	122	0.486	(12, 134)	122	0.486	251
Homo_sapiens_51413-51633	sp|Q96EE3|SEH1_HUMAN	159	0.442	(10, 304)	294	0.817	360
Homo_sapiens_57270-57400	sp|P62314|SMD1_HUMAN	111	0.933	(0, 115)	115	0.966	119
Homo_sapiens_15081-15362	sp|Q96G21|IMP4_HUMAN	262	0.900	(0, 281)	281	0.966	291
Homo_sapiens_17296-17399	sp|Q86SX6|GLRX5_HUMAN	101	0.643	(44, 145)	101	0.643	157
Homo_sapiens_3287-3572	sp|O43719|HTSF1_HUMAN	260	0.344	(23, 373)	350	0.464	755
Homo_sapiens_13859-14059	sp|P13693|TCTP_HUMAN	156	0.907	(2, 171)	169	0.983	172
Homo_sapiens_17984-18130	sp|O00762|UBE2C_HUMAN	140	0.782	(30, 170)	140	0.782	179
Homo_sapiens_56580-56964	sp|Q12874|SF3A3_HUMAN	358	0.715	(0, 458)	458	0.914	501
Homo_sapiens_1729-1851	sp|P55769|NH2L1_HUMAN	123	0.961	(5, 128)	123	0.961	128
Homo_sapiens_87047-87303	sp|Q99436|PSB7_HUMAN	243	0.877	(12, 255)	243	0.877	277
Homo_sapiens_64587-64803	sp|Q9Y3A3|PHOCN_HUMAN	196	0.871	(10, 209)	199	0.884	225
Homo_sapiens_45133-45242	sp|O15212|PFD6_HUMAN	108	0.837	(8, 116)	108	0.837	129
Homo_sapiens_5983-6149	sp|O95249|GOSR1_HUMAN	162	0.648	(11, 236)	225	0.900	250
Homo_sapiens_32124-32429	sp|O00487|PSDE_HUMAN	300	0.968	(0, 300)	300	0.968	310
Homo_sapiens_70496-70701	sp|Q9NWU2|GID8_HUMAN	177	0.776	(25, 218)	193	0.846	228
Homo_sapiens_86640-86881	sp|Q13126|MTAP_HUMAN	227	0.802	(12, 258)	246	0.869	283
Homo_sapiens_1179-1642	sp|Q96JB2|COG3_HUMAN	432	0.522	(21, 781)	760	0.918	828
Homo_sapiens_60082-60329	sp|Q15427|SF3B4_HUMAN	222	0.524	(7, 239)	232	0.547	424
Homo_sapiens_62574-62799	sp|O15372|EIF3H_HUMAN	213	0.605	(38, 292)	254	0.722	352
Homo_sapiens_48331-48532	sp|Q6FI81|CPIN1_HUMAN	183	0.587	(31, 312)	281	0.901	312
Homo_sapiens_71229-71477	sp|O43709|BUD23_HUMAN	241	0.858	(6, 281)	275	0.979	281
Homo_sapiens_66285-66664	sp|Q9BRX2|PELO_HUMAN	366	0.951	(0, 371)	371	0.964	385
Homo_sapiens_53233-53479	sp|O00560|SDCB1_HUMAN	234	0.785	(0, 296)	296	0.993	298
Homo_sapiens_12968-13229	sp|P55884|EIF3B_HUMAN	244	0.300	(481, 750)	269	0.330	814
Homo_sapiens_49999-50136	sp|P36954|RPB9_HUMAN	114	0.912	(8, 124)	116	0.928	125
Homo_sapiens_55192-55327	sp|Q9P0J0|NDUAD_HUMAN	117	0.812	(0, 119)	119	0.826	144
Homo_sapiens_87977-88384	sp|Q9NTK5|OLA1_HUMAN	388	0.980	(0, 388)	388	0.980	396
Homo_sapiens_74084-74297	sp|Q9H1Y0|ATG5_HUMAN	183	0.665	(0, 265)	265	0.964	275
Homo_sapiens_17521-17732	sp|P00492|HPRT_HUMAN	199	0.913	(7, 216)	209	0.959	218
Homo_sapiens_80926-81135	sp|Q9Y3E7|CHMP3_HUMAN	204	0.919	(0, 222)	222	1.000	222
Homo_sapiens_72389-72606	sp|Q9Y673|ALG5_HUMAN	213	0.657	(66, 315)	249	0.769	324
Homo_sapiens_83077-83325	sp|O76071|CIAO1_HUMAN	240	0.708	(0, 325)	325	0.959	339
Homo_sapiens_37958-38158	sp|P48444|COPD_HUMAN	191	0.374	(0, 239)	239	0.468	511
Homo_sapiens_42109-42370	sp|P60228|EIF3E_HUMAN	241	0.542	(143, 424)	281	0.631	445
Homo_sapiens_9483-9647	sp|Q9NWV4|CA123_HUMAN	147	0.919	(5, 159)	154	0.963	160
Homo_sapiens_44340-44456	sp|P62318|SMD3_HUMAN	106	0.841	(0, 106)	106	0.841	126
Homo_sapiens_17400-17520	sp|Q9UHV9|PFD2_HUMAN	106	0.688	(23, 129)	106	0.688	154
Homo_sapiens_41476-41757	sp|Q96DI7|SNR40_HUMAN	274	0.768	(43, 330)	287	0.804	357
Homo_sapiens_85919-86162	sp|O95628|CNOT4_HUMAN	212	0.369	(12, 232)	220	0.383	575
Homo_sapiens_69899-70052	sp|P51571|SSRD_HUMAN	143	0.827	(25, 173)	148	0.855	173
Homo_sapiens_56965-57269	sp|Q00403|TF2B_HUMAN	289	0.915	(14, 314)	300	0.949	316
Homo_sapiens_33457-33608	sp|Q9Y255|PRLD1_HUMAN	136	0.621	(14, 166)	152	0.694	219
Homo_sapiens_74639-74778	sp|Q147X3|NAA30_HUMAN	138	0.381	(217, 361)	144	0.398	362
Homo_sapiens_43843-44023	sp|Q9BPW8|NIPS1_HUMAN	172	0.606	(59, 282)	223	0.785	284
Homo_sapiens_64804-65038	sp|P13051|UNG_HUMAN	211	0.674	(97, 313)	216	0.690	313
Homo_sapiens_73863-74083	sp|Q9NWT1|PK1IP_HUMAN	186	0.474	(5, 274)	269	0.686	392
Homo_sapiens_21772-22083	sp|Q9H9Y2|RPF1_HUMAN	277	0.794	(58, 349)	291	0.834	349
Homo_sapiens_38989-39142	sp|P61088|UBE2N_HUMAN	148	0.974	(0, 148)	148	0.974	152
Homo_sapiens_4197-4292	sp|Q99643|C560_HUMAN	94	0.556	(40, 167)	127	0.751	169
Homo_sapiens_7598-7783	sp|P47985|UCRI_HUMAN	172	0.628	(76, 265)	189	0.690	274
Homo_sapiens_68306-68592	sp|Q13200|PSMD2_HUMAN	279	0.307	(461, 903)	442	0.487	908
Homo_sapiens_70288-70405	sp|Q9Y584|TIM22_HUMAN	118	0.608	(58, 192)	134	0.691	194
Homo_sapiens_32870-33199	sp|Q9NVA2|SEP11_HUMAN	316	0.737	(13, 360)	347	0.809	429
Homo_sapiens_87534-87786	sp|P50750|CDK9_HUMAN	232	0.624	(12, 321)	309	0.831	372
Homo_sapiens_26352-26650	sp|O43395|PRPF3_HUMAN	284	0.416	(321, 672)	351	0.514	683
Homo_sapiens_22320-22536	sp|P34949|MPI_HUMAN	214	0.506	(8, 308)	300	0.709	423
Homo_sapiens_33200-33456	sp|Q9UHW5|GPN3_HUMAN	236	0.831	(2, 259)	257	0.905	284
