partition	protID	trimmedLength	trimmedPercent	span	spanLength	spanPercent	refProtLength
Homo_sapiens_1-538	sp|Q9BUQ8|DDX23_HUMAN	538	0.656	(245, 811)	566	0.690	820
Homo_sapiens_539-1122	sp|Q7L014|DDX46_HUMAN	570	0.553	(225, 1012)	787	0.763	1031
Homo_sapiens_1123-1676	sp|P25205|MCM3_HUMAN	554	0.686	(17, 659)	642	0.795	808
Homo_sapiens_2512-3056	sp|P98194|AT2C1_HUMAN	539	0.587	(174, 894)	720	0.783	919
Homo_sapiens_3057-3424	sp|O95922|TTLL1_HUMAN	368	0.870	(2, 386)	384	0.908	423
Homo_sapiens_3425-3736	sp|Q14679|TTLL4_HUMAN	312	0.260	(577, 1029)	452	0.377	1199
Homo_sapiens_3737-4013	sp|Q6ZT98|TTLL7_HUMAN	276	0.311	(47, 400)	353	0.398	887
Homo_sapiens_4014-4415	sp|Q96GQ7|DDX27_HUMAN	378	0.475	(218, 654)	436	0.548	796
Homo_sapiens_4416-4832	sp|Q13206|DDX10_HUMAN	417	0.477	(69, 518)	449	0.513	875
Homo_sapiens_4833-5277	sp|Q9NVP1|DDX18_HUMAN	443	0.661	(178, 627)	449	0.670	670
Homo_sapiens_5278-5512	sp|P26196|DDX6_HUMAN	233	0.482	(73, 320)	247	0.511	483
Homo_sapiens_5513-5864	sp|P38919|IF4A3_HUMAN	352	0.856	(43, 405)	362	0.881	411
Homo_sapiens_5865-6314	sp|Q9UM54|MYO6_HUMAN	442	0.342	(203, 1262)	1059	0.818	1294
Homo_sapiens_6315-6631	sp|Q13523|PRP4B_HUMAN	317	0.315	(661, 1007)	346	0.344	1007
Homo_sapiens_6632-7152	sp|Q99832|TCPH_HUMAN	521	0.959	(1, 525)	524	0.965	543
Homo_sapiens_7153-7668	sp|P48643|TCPE_HUMAN	515	0.952	(7, 534)	527	0.974	541
Homo_sapiens_7669-8175	sp|P50991|TCPD_HUMAN	493	0.915	(35, 539)	504	0.935	539
Homo_sapiens_8176-8459	sp|P50613|CDK7_HUMAN	283	0.818	(9, 308)	299	0.864	346
Homo_sapiens_8460-9046	sp|P51532|SMCA4_HUMAN	587	0.356	(529, 1399)	870	0.528	1647
Homo_sapiens_10543-11140	sp|P43246|MSH2_HUMAN	591	0.633	(33, 852)	819	0.877	934
Homo_sapiens_11141-11465	sp|Q9UHB4|NDOR1_HUMAN	314	0.526	(5, 596)	591	0.990	597
Homo_sapiens_11466-11964	sp|P16435|NCPR_HUMAN	489	0.722	(75, 677)	602	0.889	677
Homo_sapiens_11965-12218	sp|Q9UBK8|MTRR_HUMAN	246	0.339	(29, 725)	696	0.960	725
Homo_sapiens_12219-12579	sp|Q9Y450|HBS1L_HUMAN	361	0.528	(257, 682)	425	0.621	684
Homo_sapiens_12580-12969	sp|P15170|ERF3A_HUMAN	384	0.770	(71, 493)	422	0.846	499
Homo_sapiens_12970-13349	sp|P43686|PRS6B_HUMAN	380	0.909	(38, 418)	380	0.909	418
Homo_sapiens_13350-13760	sp|P17980|PRS6A_HUMAN	405	0.923	(30, 439)	409	0.932	439
Homo_sapiens_13761-13951	sp|P61106|RAB14_HUMAN	191	0.888	(0, 193)	193	0.898	215
Homo_sapiens_14885-15764	sp|Q14683|SMC1A_HUMAN	848	0.688	(1, 1223)	1222	0.991	1233
Homo_sapiens_15765-15865	sp|Q9BTW9|TBCD_HUMAN	101	0.085	(511, 876)	365	0.306	1192
Homo_sapiens_15866-16249	sp|Q9BZQ6|EDEM3_HUMAN	384	0.412	(58, 767)	709	0.761	932
Homo_sapiens_16250-16383	sp|Q92611|EDEM1_HUMAN	134	0.204	(421, 563)	142	0.216	657
Homo_sapiens_16688-17386	sp|O95602|RPA1_HUMAN	678	0.394	(390, 1717)	1327	0.772	1720
