partition	protID	trimmedLength	trimmedPercent	span	spanLength	spanPercent	refProtLength
Homo_sapiens_1-102	sp|O95394|AGM1_HUMAN	93	0.172	(365, 511)	146	0.269	542
Homo_sapiens_103-396	sp|Q9NV06|DCA13_HUMAN	284	0.635	(63, 421)	358	0.801	447
Homo_sapiens_397-587	sp|Q92968|PEX13_HUMAN	177	0.439	(119, 334)	215	0.533	403
Homo_sapiens_588-857	sp|Q9ULR0|ISY1_HUMAN	205	0.719	(3, 270)	267	0.937	285
Homo_sapiens_858-1148	sp|Q5JVF3|PCID2_HUMAN	264	0.662	(98, 394)	296	0.742	399
Homo_sapiens_1149-1291	sp|P23025|XPA_HUMAN	129	0.473	(69, 224)	155	0.568	273
Homo_sapiens_1292-1431	sp|Q8WTW4|NPRL2_HUMAN	121	0.318	(79, 355)	276	0.726	380
Homo_sapiens_1432-1653	sp|Q96ST2|IWS1_HUMAN	203	0.248	(525, 769)	244	0.298	819
Homo_sapiens_1654-1841	sp|Q8IUR0|TPPC5_HUMAN	172	0.915	(10, 182)	172	0.915	188
Homo_sapiens_1842-2096	sp|O15260|SURF4_HUMAN	232	0.862	(25, 269)	244	0.907	269
Homo_sapiens_2097-2288	sp|Q9BW85|CCD94_HUMAN	175	0.542	(7, 199)	192	0.594	323
Homo_sapiens_2289-2491	sp|Q96BW9|TAM41_HUMAN	180	0.398	(22, 254)	232	0.513	452
Homo_sapiens_2492-2690	sp|P61599|NAA20_HUMAN	172	0.966	(0, 178)	178	1.000	178
Homo_sapiens_2691-2960	sp|O15541|R113A_HUMAN	167	0.487	(111, 317)	206	0.601	343
Homo_sapiens_2961-3208	sp|Q9H7B2|RPF2_HUMAN	217	0.709	(34, 287)	253	0.827	306
Homo_sapiens_3209-3405	sp|P49642|PRI1_HUMAN	186	0.442	(50, 355)	305	0.724	421
Homo_sapiens_3406-3584	sp|Q9BRS2|RIOK1_HUMAN	171	0.301	(181, 568)	387	0.681	568
Homo_sapiens_3585-3875	sp|P19387|RPB3_HUMAN	252	0.916	(4, 262)	258	0.938	275
Homo_sapiens_3876-4025	sp|Q32NB8|PGPS1_HUMAN	119	0.214	(94, 426)	332	0.597	556
Homo_sapiens_4026-4343	sp|O95620|DUS4L_HUMAN	257	0.811	(28, 312)	284	0.896	317
Homo_sapiens_4344-4530	sp|Q9BV10|ALG12_HUMAN	170	0.348	(52, 405)	353	0.723	488
Homo_sapiens_4531-4631	sp|Q8TED0|UTP15_HUMAN	89	0.172	(135, 309)	174	0.336	518
Homo_sapiens_4632-4755	sp|Q9BQ67|GRWD1_HUMAN	111	0.249	(53, 384)	331	0.742	446
Homo_sapiens_4756-5065	sp|Q9BVC4|LST8_HUMAN	254	0.777	(11, 327)	316	0.966	327
Homo_sapiens_5066-5165	sp|Q9NVA1|UQCC1_HUMAN	87	0.291	(117, 259)	142	0.475	299
Homo_sapiens_5166-5547	sp|Q6XQN6|PNCB_HUMAN	350	0.651	(24, 538)	514	0.955	538
