partition	protID	trimmedLength	trimmedPercent	span	spanLength	spanPercent	refProtLength
Homo_330355-330552	sp|O15498|YKT6_HUMAN	162	0.818	(0, 197)	197	0.995	198
Homo_365203-365455	sp|Q9UHR5|S30BP_HUMAN	137	0.445	(4, 308)	304	0.987	308
Homo_252296-252485	sp|Q99766|ATP5S_HUMAN	177	0.823	(0, 215)	215	1.000	215
Homo_216205-216501	sp|Q99848|EBP2_HUMAN	296	0.967	(5, 305)	300	0.980	306
Homo_237176-237313	sp|Q8N9N8|EIF1A_HUMAN	138	0.836	(0, 162)	162	0.982	165
Homo_340108-340742	sp|Q9Y2M0|FAN1_HUMAN	634	0.623	(354, 1013)	659	0.648	1017
Homo_55864-56379	sp|Q86W56|PARG_HUMAN	184	0.189	(785, 976)	191	0.196	976
Homo_271479-271721	sp|Q9BZE2|PUS3_HUMAN	243	0.505	(42, 318)	276	0.574	481
Homo_22721-23206	sp|Q9H9F9|ARP5_HUMAN	486	0.801	(33, 574)	541	0.891	607
Homo_384313-384469	sp|Q86U28|ISCA2_HUMAN	154	1.000	(0, 154)	154	1.000	154
Homo_102525-103179	sp|Q9BQ52|RNZ2_HUMAN	636	0.770	(50, 780)	730	0.884	826
Homo_125798-126209	sp|Q9Y366|IFT52_HUMAN	411	0.941	(2, 422)	420	0.961	437
Homo_271212-271478	sp|Q9H2P9|DPH5_HUMAN	266	0.933	(0, 271)	271	0.951	285
Homo_136981-137273	sp|P35250|RFC2_HUMAN	293	0.828	(37, 346)	309	0.873	354
Homo_10620-10977	sp|Q9NZJ0|DTL_HUMAN	68	0.093	(2, 436)	434	0.595	730
Homo_255403-255779	sp|Q8IYT2|CMTR2_HUMAN	375	0.487	(21, 418)	397	0.516	770
Homo_310589-310808	sp|Q9NPA0|EMC7_HUMAN	153	0.632	(0, 233)	233	0.963	242
Homo_311393-311553	sp|Q9BX73|TM2D2_HUMAN	150	0.701	(0, 214)	214	1.000	214
Homo_237314-237595	sp|Q9Y314|NOSIP_HUMAN	282	0.937	(1, 301)	300	0.997	301
Homo_6166-6661	sp|Q96EX3|WDR34_HUMAN	494	0.922	(36, 536)	500	0.933	536
Homo_314319-314561	sp|O95476|CNEP1_HUMAN	111	0.455	(133, 244)	111	0.455	244
Homo_328110-328679	sp|Q7L1T6|NB5R4_HUMAN	519	0.996	(0, 521)	521	1.000	521
Homo_40014-40322	sp|Q96K37|S35E1_HUMAN	309	0.754	(24, 354)	330	0.805	410
Homo_103517-103783	sp|Q9H0W9|CK054_HUMAN	85	0.270	(15, 100)	85	0.270	315
Homo_248180-248341	sp|Q9UHA3|RLP24_HUMAN	161	0.988	(0, 162)	162	0.994	163
Homo_30963-31453	sp|Q15831|STK11_HUMAN	433	1.000	(0, 433)	433	1.000	433
Homo_374281-374749	sp|Q96KP4|CNDP2_HUMAN	469	0.987	(3, 473)	470	0.989	475
Homo_277277-277462	sp|Q96HA8|NTAQ1_HUMAN	186	0.907	(14, 201)	187	0.912	205
Homo_230229-230632	sp|P86791|CCZ1_HUMAN	404	0.838	(20, 481)	461	0.956	482
Homo_323105-323484	sp|Q96L50|LLR1_HUMAN	377	0.911	(0, 408)	408	0.986	414
Homo_33765-34403	sp|O15457|MSH4_HUMAN	639	0.683	(157, 856)	699	0.747	936
Homo_49910-50302	sp|Q03154|ACY1_HUMAN	393	0.963	(7, 401)	394	0.966	408
Homo_308742-308961	sp|Q8N5M1|ATPF2_HUMAN	144	0.498	(44, 205)	161	0.557	289
Homo_350124-350370	sp|Q9H9J2|RM44_HUMAN	247	0.744	(39, 308)	269	0.810	332
Homo_137628-137950	sp|P40937|RFC5_HUMAN	104	0.306	(0, 125)	125	0.368	340
Homo_339438-339791	sp|Q9NRM2|ZN277_HUMAN	354	0.787	(53, 417)	364	0.809	450
Homo_294966-295451	sp|Q8IZE3|PACE1_HUMAN	429	0.578	(0, 538)	538	0.725	742
Homo_102290-102524	sp|Q5SRE7|PHYD1_HUMAN	103	0.354	(42, 155)	113	0.388	291
Homo_313303-313488	sp|Q96NC0|ZMAT2_HUMAN	186	0.935	(4, 194)	190	0.955	199
Homo_79687-80066	sp|P49589|SYCC_HUMAN	380	0.508	(226, 656)	430	0.575	748
Homo_292965-293118	sp|P00441|SODC_HUMAN	135	0.877	(0, 154)	154	1.000	154
Homo_13378-13625	sp|Q9UKX7|NUP50_HUMAN	248	0.530	(28, 466)	438	0.936	468
Homo_4446-4850	sp|Q9H5U6|ZCHC4_HUMAN	403	0.786	(22, 461)	439	0.856	513
Homo_90379-90615	sp|O60931|CTNS_HUMAN	211	0.575	(147, 358)	211	0.575	367
Homo_167282-167995	sp|Q5HYA8|MKS3_HUMAN	714	0.718	(147, 994)	847	0.851	995
Homo_259792-259944	sp|Q8N983|RM43_HUMAN	152	0.707	(0, 153)	153	0.712	215
Homo_1987-2591	sp|Q9BVA0|KTNB1_HUMAN	603	0.921	(4, 653)	649	0.991	655
Homo_318422-318750	sp|Q6ZNW5|GDPP1_HUMAN	329	0.855	(27, 379)	352	0.914	385
Homo_303260-303487	sp|Q9BQ83|SLX1_HUMAN	127	0.462	(6, 251)	245	0.891	275
Homo_227861-228380	sp|P56282|DPOE2_HUMAN	493	0.935	(3, 526)	523	0.992	527
Homo_295595-296512	sp|Q92797|SYMPK_HUMAN	918	0.721	(53, 1103)	1050	0.824	1274
Homo_359839-360533	sp|Q12986|NFX1_HUMAN	146	0.130	(803, 957)	154	0.138	1120
Homo_358274-358590	sp|Q9H6Y2|WDR55_HUMAN	106	0.277	(28, 371)	343	0.896	383
Homo_52802-53238	sp|Q9Y2X3|NOP58_HUMAN	185	0.350	(130, 391)	261	0.493	529
Homo_188213-188491	sp|Q15006|EMC2_HUMAN	279	0.939	(5, 294)	289	0.973	297
Homo_95529-95822	sp|Q9HC07|TM165_HUMAN	261	0.806	(0, 324)	324	1.000	324
Homo_339792-340107	sp|Q9NWT1|PK1IP_HUMAN	316	0.806	(0, 388)	388	0.990	392
Homo_356588-356735	sp|Q9NRX2|RM17_HUMAN	126	0.720	(4, 156)	152	0.869	175
Homo_229355-229763	sp|Q96AG3|S2546_HUMAN	305	0.730	(31, 418)	387	0.926	418
Homo_239456-239731	sp|Q96PV6|LENG8_HUMAN	21	0.027	(242, 263)	21	0.027	779
Homo_179390-179687	sp|Q8IZL9|CDK20_HUMAN	222	0.642	(0, 298)	298	0.861	346
Homo_78194-78353	sp|Q5VUJ9|EFCB2_HUMAN	130	0.469	(145, 277)	132	0.477	277
Homo_372278-372476	sp|Q9BVV7|TIM21_HUMAN	194	0.782	(47, 244)	197	0.794	248
Homo_172292-172710	sp|Q3MIT2|PUS10_HUMAN	419	0.792	(11, 524)	513	0.970	529
Homo_260517-260807	sp|P51948|MAT1_HUMAN	291	0.942	(0, 306)	306	0.990	309
Homo_373155-373975	sp|Q8ND04|SMG8_HUMAN	810	0.817	(34, 991)	957	0.966	991
Homo_368741-369170	sp|P82675|RT05_HUMAN	378	0.879	(45, 430)	385	0.895	430
Homo_254922-255402	sp|Q9NQ89|CL004_HUMAN	189	0.342	(173, 377)	204	0.370	552
Homo_114251-114626	sp|Q8TEB1|DCA11_HUMAN	376	0.689	(146, 525)	379	0.694	546
Homo_204018-204432	sp|Q8N0Z6|TTC5_HUMAN	415	0.943	(15, 439)	424	0.964	440
Homo_294010-294172	sp|P51970|NDUA8_HUMAN	128	0.744	(0, 172)	172	1.000	172
Homo_98438-99028	sp|Q16134|ETFD_HUMAN	164	0.266	(165, 329)	164	0.266	617
Homo_326291-326566	sp|Q7LGA3|HS2ST_HUMAN	157	0.441	(71, 229)	158	0.444	356
Homo_111357-111989	sp|O76094|SRP72_HUMAN	304	0.453	(195, 545)	350	0.522	671
Homo_67113-67682	sp|Q96AX1|VP33A_HUMAN	514	0.862	(2, 595)	593	0.995	596
Homo_285209-285400	sp|Q96CT7|CC124_HUMAN	192	0.861	(1, 214)	213	0.955	223
Homo_296660-296948	sp|Q96C86|DCPS_HUMAN	289	0.858	(40, 337)	297	0.881	337
Homo_16191-16493	sp|Q9H2D1|MFTC_HUMAN	302	0.959	(9, 311)	302	0.959	315
Homo_313890-314318	sp|Q7L3T8|SYPM_HUMAN	425	0.895	(38, 475)	437	0.920	475
Homo_249462-249740	sp|Q9BXY0|MAK16_HUMAN	279	0.930	(0, 300)	300	1.000	300
Homo_307784-308005	sp|Q9BSH5|HDHD3_HUMAN	222	0.884	(6, 240)	234	0.932	251
Homo_331581-332203	sp|Q9UGJ1|GCP4_HUMAN	359	0.538	(82, 530)	448	0.672	667
Homo_74711-75294	sp|P31939|PUR9_HUMAN	229	0.387	(332, 581)	249	0.421	592
Homo_317189-317846	sp|Q92541|RTF1_HUMAN	170	0.239	(418, 662)	244	0.344	710
Homo_280219-280395	sp|Q9H875|PKRI1_HUMAN	175	0.951	(4, 184)	180	0.978	184
Homo_191634-191827	sp|P49721|PSB2_HUMAN	194	0.965	(0, 196)	196	0.975	201
Homo_373976-374280	sp|Q96AB6|NTAN1_HUMAN	223	0.719	(0, 250)	250	0.806	310
Homo_147926-148195	sp|Q13126|MTAP_HUMAN	42	0.148	(8, 50)	42	0.148	283
Homo_241165-241437	sp|Q96FX7|TRM61_HUMAN	176	0.609	(73, 284)	211	0.730	289
Homo_381365-381468	sp|O15235|RT12_HUMAN	104	0.754	(29, 133)	104	0.754	138
Homo_284792-284904	sp|Q9Y237|PIN4_HUMAN	66	0.504	(18, 131)	113	0.863	131
Homo_352713-352884	sp|Q14696|MESD_HUMAN	172	0.735	(4, 208)	204	0.872	234
Homo_244357-244522	sp|Q9Y3D8|KAD6_HUMAN	166	0.965	(0, 166)	166	0.965	172
Homo_338034-338753	sp|P33993|MCM7_HUMAN	714	0.993	(2, 719)	717	0.997	719
Homo_265317-265562	sp|Q99614|TTC1_HUMAN	118	0.404	(168, 286)	118	0.404	292
Homo_43732-44077	sp|Q8TB61|S35B2_HUMAN	346	0.801	(36, 417)	381	0.882	432
Homo_139738-140324	sp|Q9H089|LSG1_HUMAN	176	0.267	(0, 658)	658	1.000	658
Homo_174316-174873	sp|O75419|CDC45_HUMAN	89	0.157	(89, 281)	192	0.339	566
Homo_70442-70761	sp|O43175|SERA_HUMAN	319	0.598	(1, 322)	321	0.602	533
Homo_138431-138872	sp|Q9NV06|DCA13_HUMAN	96	0.216	(0, 96)	96	0.216	445
Homo_233537-233933	sp|Q9GZL7|WDR12_HUMAN	397	0.939	(0, 414)	414	0.979	423
Homo_158348-158603	sp|Q9H6V9|LDAH_HUMAN	250	0.769	(39, 318)	279	0.858	325
Homo_148963-149119	sp|P46778|RL21_HUMAN	157	0.981	(0, 159)	159	0.994	160
Homo_130340-130532	sp|Q9NRN9|METL5_HUMAN	99	0.474	(3, 202)	199	0.952	209
Homo_148196-148555	sp|Q8N543|OGFD1_HUMAN	38	0.070	(55, 357)	302	0.557	542
Homo_87936-88770	sp|Q7Z2K6|ERMP1_HUMAN	832	0.920	(42, 904)	862	0.954	904
Homo_9310-9429	sp|A0JLT2|MED19_HUMAN	120	0.492	(57, 179)	122	0.500	244
Homo_376643-377033	sp|Q9NZM5|NOP53_HUMAN	385	0.799	(39, 482)	443	0.919	482
Homo_111990-112238	sp|Q9BZB8|CPEB1_HUMAN	249	0.440	(275, 563)	288	0.509	566
Homo_379148-379393	sp|P48507|GSH0_HUMAN	244	0.891	(12, 272)	260	0.949	274
Homo_17398-17559	sp|P24534|EF1B_HUMAN	159	0.707	(27, 225)	198	0.880	225
Homo_352885-353023	sp|Q9Y5R8|TPPC1_HUMAN	72	0.497	(1, 75)	74	0.510	145
Homo_48313-48604	sp|Q5T2R2|DPS1_HUMAN	292	0.704	(116, 415)	299	0.720	415
Homo_100034-101049	sp|Q12882|DPYD_HUMAN	1016	0.991	(2, 1024)	1022	0.997	1025
Homo_268661-268817	sp|O95218|ZRAB2_HUMAN	156	0.473	(5, 189)	184	0.558	330
Homo_7439-7801	sp|Q9NQZ2|SAS10_HUMAN	360	0.752	(78, 479)	401	0.837	479
Homo_139112-139572	sp|Q8WWY3|PRP31_HUMAN	337	0.674	(0, 467)	467	0.934	500
Homo_163585-163888	sp|Q9P287|BCCIP_HUMAN	302	0.962	(0, 314)	314	1.000	314
Homo_213059-213395	sp|P11182|ODB2_HUMAN	177	0.367	(0, 469)	469	0.973	482
Homo_44078-44928	sp|P52701|MSH6_HUMAN	851	0.626	(356, 1334)	978	0.719	1360
Homo_145101-145372	sp|Q9ULR0|ISY1_HUMAN	214	0.751	(0, 276)	276	0.968	285
Homo_312558-312832	sp|Q9H1X1|RSPH9_HUMAN	130	0.471	(76, 276)	200	0.725	276
