partition	protID	trimmedLength	trimmedPercent	span	spanLength	spanPercent	refProtLength
Homo_sapiens_1-222	sp|P56537|IF6_HUMAN	222	0.906	(2, 244)	242	0.988	245
Homo_sapiens_223-603	sp|Q9NV06|DCA13_HUMAN	381	0.856	(2, 443)	441	0.991	445
Homo_sapiens_604-1077	sp|Q99832|TCPH_HUMAN	474	0.873	(8, 529)	521	0.959	543
Homo_sapiens_1078-1699	sp|P54098|DPOG1_HUMAN	622	0.502	(135, 1226)	1091	0.881	1239
Homo_sapiens_1700-2281	sp|Q6IA69|NADE_HUMAN	581	0.823	(7, 702)	695	0.984	706
Homo_sapiens_2282-2456	sp|Q92968|PEX13_HUMAN	172	0.427	(49, 334)	285	0.707	403
Homo_sapiens_2457-2570	sp|Q5J8M3|EMC4_HUMAN	113	0.617	(15, 183)	168	0.918	183
Homo_sapiens_2571-2821	sp|Q8N7H5|PAF1_HUMAN	250	0.471	(27, 456)	429	0.808	531
Homo_sapiens_2822-2904	sp|P63220|RS21_HUMAN	79	0.952	(0, 83)	83	1.000	83
Homo_sapiens_2905-3156	sp|Q8WTW4|NPRL2_HUMAN	249	0.655	(4, 380)	376	0.989	380
Homo_sapiens_3157-3359	sp|Q99848|EBP2_HUMAN	203	0.663	(20, 306)	286	0.935	306
Homo_sapiens_3360-3485	sp|Q9UHA3|RLP24_HUMAN	126	0.773	(3, 137)	134	0.822	163
Homo_sapiens_3486-3659	sp|Q9BY50|SC11C_HUMAN	172	0.896	(17, 190)	173	0.901	192
Homo_sapiens_3660-3877	sp|O15260|SURF4_HUMAN	212	0.788	(5, 268)	263	0.978	269
Homo_sapiens_3878-3990	sp|Q7RTV0|PHF5A_HUMAN	110	1.000	(0, 110)	110	1.000	110
Homo_sapiens_3991-4184	sp|O15541|R113A_HUMAN	193	0.563	(26, 327)	301	0.878	343
Homo_sapiens_4185-4411	sp|P17707|DCAM_HUMAN	226	0.677	(2, 313)	311	0.931	334
Homo_sapiens_4412-4706	sp|Q92905|CSN5_HUMAN	295	0.883	(7, 331)	324	0.970	334
Homo_sapiens_4707-4969	sp|Q9NWL6|ASND1_HUMAN	263	0.409	(50, 614)	564	0.877	643
Homo_sapiens_4970-5129	sp|O15258|RER1_HUMAN	160	0.816	(13, 185)	172	0.878	196
Homo_sapiens_5130-5426	sp|P49642|PRI1_HUMAN	297	0.707	(9, 420)	411	0.979	420
Homo_sapiens_5427-5749	sp|P61962|DCAF7_HUMAN	322	0.942	(1, 342)	341	0.997	342
Homo_sapiens_5750-6399	sp|Q13618|CUL3_HUMAN	650	0.846	(22, 766)	744	0.969	768
Homo_sapiens_6400-6563	sp|Q9NVA1|UQCC1_HUMAN	163	0.545	(45, 298)	253	0.846	299
Homo_sapiens_6564-7018	sp|Q6XQN6|PNCB_HUMAN	454	0.839	(10, 541)	531	0.982	541
Homo_sapiens_7019-7565	sp|Q8N1B4|VPS52_HUMAN	547	0.757	(41, 717)	676	0.935	723
Homo_sapiens_7566-7701	sp|P52434|RPAB3_HUMAN	136	0.907	(0, 150)	150	1.000	150
Homo_sapiens_7702-7854	sp|P49914|MTHFS_HUMAN	151	0.744	(2, 197)	195	0.961	203
Homo_sapiens_7855-7980	sp|P0DI82|TPC2B_HUMAN	126	0.900	(1, 138)	137	0.979	140
Homo_sapiens_7981-8397	sp|Q9H6U8|ALG9_HUMAN	417	0.682	(56, 604)	548	0.897	611
Homo_sapiens_8398-8501	sp|P62942|FKB1A_HUMAN	87	0.806	(0, 106)	106	0.981	108
Homo_sapiens_8502-8754	sp|Q8WVC0|LEO1_HUMAN	250	0.375	(245, 610)	365	0.548	666
Homo_sapiens_8755-9166	sp|Q8N6M0|OTU6B_HUMAN	406	0.862	(11, 471)	460	0.977	471
Homo_sapiens_9167-9938	sp|Q5VIR6|VPS53_HUMAN	769	0.842	(0, 913)	913	1.000	913
Homo_sapiens_9939-10295	sp|Q92521|PIGB_HUMAN	355	0.641	(62, 527)	465	0.839	554
Homo_sapiens_10296-10556	sp|Q6UXN9|WDR82_HUMAN	260	0.831	(0, 310)	310	0.990	313
Homo_sapiens_10557-11223	sp|O00541|PESC_HUMAN	663	0.807	(6, 822)	816	0.993	822
Homo_sapiens_11224-11458	sp|Q13112|CAF1B_HUMAN	235	0.420	(27, 458)	431	0.771	559
Homo_sapiens_11459-11596	sp|P62263|RS14_HUMAN	138	0.914	(11, 151)	140	0.927	151
Homo_sapiens_11597-12041	sp|Q7Z3C6|ATG9A_HUMAN	442	0.527	(8, 839)	831	0.990	839
Homo_sapiens_12042-12394	sp|Q92994|TF3B_HUMAN	350	0.517	(5, 549)	544	0.804	677
Homo_sapiens_12395-12732	sp|Q9BT22|ALG1_HUMAN	338	0.728	(15, 462)	447	0.963	464
Homo_sapiens_12733-12965	sp|Q9C0J8|WDR33_HUMAN	231	0.173	(29, 1294)	1265	0.947	1336
Homo_sapiens_12966-13201	sp|P55735|SEC13_HUMAN	232	0.720	(2, 307)	305	0.947	322
Homo_sapiens_13202-13564	sp|O00231|PSD11_HUMAN	363	0.860	(0, 422)	422	1.000	422
Homo_sapiens_13565-13819	sp|P60891|PRPS1_HUMAN	255	0.802	(4, 316)	312	0.981	318
Homo_sapiens_13820-14219	sp|P62191|PRS4_HUMAN	400	0.909	(23, 435)	412	0.936	440
Homo_sapiens_14220-15456	sp|Q00610|CLH1_HUMAN	1237	0.739	(6, 1623)	1617	0.965	1675
Homo_sapiens_15457-15577	sp|P13984|T2FB_HUMAN	121	0.486	(0, 247)	247	0.992	249
Homo_sapiens_15578-15756	sp|Q9UMS0|NFU1_HUMAN	166	0.654	(58, 252)	194	0.764	254
Homo_sapiens_15757-16230	sp|Q96NY9|MUS81_HUMAN	468	0.692	(14, 676)	662	0.979	676
Homo_sapiens_16231-16486	sp|Q9NTN3|S35D1_HUMAN	256	0.721	(41, 335)	294	0.828	355
Homo_sapiens_16487-16642	sp|Q9Y388|RBMX2_HUMAN	150	0.466	(2, 289)	287	0.891	322
Homo_sapiens_16643-17202	sp|Q9UJX6|ANC2_HUMAN	557	0.651	(0, 851)	851	0.995	855
Homo_sapiens_17203-17454	sp|Q9NPF5|DMAP1_HUMAN	250	0.535	(9, 465)	456	0.976	467
Homo_sapiens_17455-17860	sp|Q96AA3|RFT1_HUMAN	406	0.750	(23, 534)	511	0.945	541
Homo_sapiens_17861-18022	sp|Q9ULC4|MCTS1_HUMAN	161	0.890	(9, 178)	169	0.934	181
Homo_sapiens_18023-18162	sp|P62841|RS15_HUMAN	140	0.966	(5, 145)	140	0.966	145
Homo_sapiens_18163-18355	sp|Q9HC07|TM165_HUMAN	190	0.586	(18, 316)	298	0.920	324
Homo_sapiens_18356-18599	sp|Q9H4A6|GOLP3_HUMAN	244	0.819	(6, 297)	291	0.977	298
Homo_sapiens_18600-18980	sp|Q53GS9|SNUT2_HUMAN	381	0.674	(96, 557)	461	0.816	565
Homo_sapiens_18981-19127	sp|P60604|UB2G2_HUMAN	147	0.891	(0, 160)	160	0.970	165
Homo_sapiens_19128-19293	sp|P84098|RL19_HUMAN	166	0.847	(8, 194)	186	0.949	196
Homo_sapiens_19294-19583	sp|Q9H553|ALG2_HUMAN	288	0.692	(15, 413)	398	0.957	416
Homo_sapiens_19584-20004	sp|O60508|PRP17_HUMAN	416	0.718	(44, 574)	530	0.915	579
Homo_sapiens_20005-20288	sp|Q13347|EIF3I_HUMAN	283	0.871	(5, 324)	319	0.982	325
Homo_sapiens_20289-20793	sp|P51530|DNA2_HUMAN	500	0.472	(0, 1016)	1016	0.958	1060
Homo_sapiens_20794-21161	sp|O43660|PLRG1_HUMAN	368	0.716	(1, 514)	513	0.998	514
Homo_sapiens_21162-21684	sp|O95352|ATG7_HUMAN	523	0.744	(17, 702)	685	0.974	703
Homo_sapiens_21685-22130	sp|P61011|SRP54_HUMAN	446	0.885	(9, 491)	482	0.956	504
Homo_sapiens_22131-22459	sp|Q9Y295|DRG1_HUMAN	328	0.894	(3, 367)	364	0.992	367
Homo_sapiens_22460-23019	sp|Q96RP9|EFGM_HUMAN	559	0.744	(41, 737)	696	0.927	751
Homo_sapiens_23020-23274	sp|Q9NP61|ARFG3_HUMAN	249	0.483	(7, 508)	501	0.971	516
Homo_sapiens_23275-23476	sp|Q96H20|SNF8_HUMAN	202	0.783	(11, 238)	227	0.880	258
Homo_sapiens_23477-23753	sp|Q99741|CDC6_HUMAN	277	0.495	(158, 559)	401	0.716	560
Homo_sapiens_23754-24054	sp|P41214|EIF2D_HUMAN	300	0.514	(2, 572)	570	0.976	584
