file	taxon	A	T	C	G	N	X	-
/home/wfrancis/genomes/salpingoeca_rosetta/Salpingoeca_rosetta.Proterospongia_sp_ATCC50818.dna.toplevel.fa.gz	Salpingoeca	11349348	11395834	14479881	14478509	3736737	0	0
/home/wfrancis/genomes/monosiga_brevicollis/Monbr1_scaffolds.fasta	Monosiga	8721702	8712709	10612541	10601840	2984568	0	0
/home/wfrancis/genomes/amphimedon_queenslandica/Amphimedon_queenslandica.Aqu1.dna.toplevel.fa.gz	Amphimedon	46476974	46478713	25937624	25953074	21833216	0	0
/home/wfrancis/genomes/mnemiopsis_leidyi/MlScaffold09.nt.gz	Mnemiopsis	45939243	45971580	29218363	29209060	5527301	0	0
/home/wfrancis/genomes/ciona_intestinalis/ciona050324.unmasked.fasta.gz	Ciona	45368766	45343963	25265770	25255066	32266429	0	0
/home/wfrancis/genomes/trichoplax_adhaerens/Triad1_genomic_scaffolds.fasta.gz	Trichoplax	31828422	31896473	15500772	15524343	10862626	0	0
/home/wfrancis/genomes/branchiostoma_floridae/Branchiostoma_floridae_v2.0.assembly.fasta.gz	Branchiostoma	141227733	141279128	98935911	98960727	41491626	0	0
/home/wfrancis/genomes/nematostella_vectensis/Nemve1.fasta.gz	Nematostella	88230322	88315758	60435461	60410131	59221913	0	0
/home/wfrancis/genomes/human/GCF_000001405.37_GRCh38.p11_genomic.fna.gz	Homo	551039426	551725413	407415725	407764896	161368591	0	0
/home/wfrancis/genomes/fugu_rubripes/GCF_000180615.1_FUGU5_genomic.fna.gz	Fugu	77148065	77183284	66363645	66318044	40522881	0	0
/home/wfrancis/genomes/gasterosteus_aculeatus/GCA_000180675.1_ASM18067v1_genomic.fna.gz	Gasterosteus	95361808	95279939	80811850	80773155	0	0	0
/home/wfrancis/genomes/anolis_carolinensis/GCF_000090745.1_AnoCar2.0_genomic.fna.gz	Anolis	298222393	298394778	199799180	199923450	97789817	0	0
/home/wfrancis/genomes/gallus_gallus/GCF_000002315.4_Gallus_gallus-5.0_genomic.fna.gz	Gallus	261334555	261479476	196712558	196995035	11766024	0	0
/home/wfrancis/genomes/latimeria_chalumnae/GCF_000225785.1_LatCha1_genomic.fna.gz	Latimeria	356683444	356644875	243929709	243896233	676999153	0	0
/home/wfrancis/genomes/strongylocentrotus_purpuratus/Spur4.2_scaffolds.fa.gz	Strongylocentrotus	282799270	282806929	168608754	168222747	88461939	0	0
/home/wfrancis/genomes/danaus_plexippus/Danaus_plexippus.Dpv3.dna.toplevel.fa.gz	Danaus	82719551	82707497	38204336	38235860	6710407	0	0
/home/wfrancis/genomes/tetranychus_urticae/GCF_000239435.1_ASM23943v1_genomic.fna.gz	Tetranychus	21428883	21426965	11693236	11675778	1215392	0	0
/home/wfrancis/genomes/ixodes_scapularis/Ixodes_scapularis.IscaW1.dna.toplevel.fa.gz	Ixodes	380384135	380275925	314115290	313696830	376910010	0	0
/home/wfrancis/genomes/acyrthosiphon_pisum/Acyrthosiphon_pisum.Acyr_2.0.dna.toplevel.fa.gz	Acyrthosiphon	175579159	175524389	74396693	74390951	41784279	0	0
/home/wfrancis/genomes/lottia_gigantea/Lotgi1_assembly_scaffolds.fasta.gz	Lottia	99696776	99732978	49733488	49738328	60610637	0	0
/home/wfrancis/genomes/rhodnius_prolixus/GCA_000181055.3_Rhodnius_prolixus-3.0.3_genomic.fna.gz	Rhodnius	97916900	97910470	59986252	59942535	142194158	0	0
/home/wfrancis/genomes/drosophila_melanogaster/Drosophila_melanogaster.BDGP6.dna.toplevel.fa.gz	Drosophila	41351059	41332462	29960684	29928812	1152978	0	0
/home/wfrancis/genomes/tribolium_castaneum/Tribolium_castaneum.Tcas5.2.dna.toplevel.fa.gz	Tribolium	50424737	50384777	25821299	25782661	13515130	0	0
/home/wfrancis/genomes/apis_mellifera/Apis_mellifera.Amel_4.5.dna.toplevel.fa.gz	Apis	77111424	77085235	37479195	37429704	21165099	0	0
/home/wfrancis/genomes/bombus_terrestris/GCF_000214255.1_Bter_1.0_genomic.fna.gz	Bombus	51509276	51500342	37482572	37518693	12272586	0	0
/home/wfrancis/genomes/capitella_teleta/Capitella_spI.fasta.gz	Capitella	82605962	82521035	55939437	55948416	56702552	0	0
/home/wfrancis/genomes/strigamia_maritima/Strigamia_maritima.Smar1.dna.toplevel.fa.gz	Strigamia	55926048	55785400	30954561	30933449	2611339	0	0
/home/wfrancis/genomes/brugia_malayi/Brugia_malayi.Bmal-4.0.dna.toplevel.fa.gz	Brugia	31418832	31476020	12535118	12528462	277365	0	0
/home/wfrancis/genomes/caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235.dna.toplevel.fa.gz	Caenorhabditis	32371810	32373344	17782105	17759142	0	0	0
/home/wfrancis/genomes/daphnia_pulex/Daphnia_pulex.fasta.gz	Daphnia	46989240	46976710	32352341	32314231	38629052	0	0
/home/wfrancis/genomes/hydra_magnipapillata/Hm105_Dovetail_Assembly_1.0.fasta	Hydra	284411557	284520339	108288761	108260759	68301254	0	0
/home/wfrancis/genomes/xenopus_tropicalis/GCF_000004195.3_Xenopus_tropicalis_v9.1_genomic.fna.gz	Xenopus	249085915	248956010	171098257	171125019	70533089	0	0
/home/wfrancis/genomes/acropora_digitifera/acropora_scaffolds.fasta.gz	Acropora	110250635	110435413	70601624	70702682	54352178	0	0
/home/wfrancis/genomes/pinctada_fucata/pfu_genome2.0.fasta.gz	Pinctada	246795044	247172835	133349307	133318968	54667819	0	0
/home/wfrancis/genomes/saccoglossus_kowalevskii/Saccoglossus_kowalevskii_v3.fasta.gz	Saccoglossus	235263986	235291243	131908463	132086903	23085235	0	0
/home/wfrancis/genomes/oikopleura_dioica/Odioica_reference_v3.0.fa	Oikopleura	20022289	20050820	13219637	13240213	3938492	0	0
